========================================================
Starting setup in executable
========================================================
Initialising NuOscillatorConfigs/Binned_OscProb.yaml
OscillatorFactory creating OscillatorBase object from config: NuOscillatorConfigs/Binned_OscProb.yaml
PMNS Type : Fast
Number of parameters : 7
Propagation Method : Atmospheric
PREM Model : ./Inputs/OscProb_prem_4+1layers.txt
Detector depth : 1.5km
========================================================
Setting up Oscillators
Finished setup in executable
========================================================
Starting reweight in executable
Index:        48 | NuType:  1 | OscChan:  1 ->   1 | Energy:   81.4771 | CosZ: -0.933333 | Prob:  0.998361
Index:        49 | NuType:  1 | OscChan:  1 ->   1 | Energy:   93.5482 | CosZ: -0.933333 | Prob:  0.998822
Index:        50 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.107408 | CosZ:      -0.8 | Prob:  0.288138
Index:        51 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.123321 | CosZ:      -0.8 | Prob:  0.119137
Index:        52 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.141591 | CosZ:      -0.8 | Prob:  0.779303
Index:        53 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.162568 | CosZ:      -0.8 | Prob:  0.946419
Index:        54 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.186653 | CosZ:      -0.8 | Prob:  0.572638
Index:        55 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.214306 | CosZ:      -0.8 | Prob:  0.351456
Index:        56 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.246057 | CosZ:      -0.8 | Prob:   0.36717
Index:        57 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.282511 | CosZ:      -0.8 | Prob:  0.454922
Index:        58 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.324366 | CosZ:      -0.8 | Prob:  0.590978
Index:        59 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.372422 | CosZ:      -0.8 | Prob:  0.670662
Index:        60 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.427598 | CosZ:      -0.8 | Prob:  0.730584
Index:        61 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.490948 | CosZ:      -0.8 | Prob:  0.817416
Index:        62 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.563684 | CosZ:      -0.8 | Prob:  0.811108
Index:        63 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.647195 | CosZ:      -0.8 | Prob:  0.882108
Index:        64 | NuType:  1 | OscChan:  1 ->   1 | Energy:   0.74308 | CosZ:      -0.8 | Prob:  0.879189
Index:        65 | NuType:  1 | OscChan:  1 ->   1 | Energy:   0.85317 | CosZ:      -0.8 | Prob:  0.937858
Index:        66 | NuType:  1 | OscChan:  1 ->   1 | Energy:   0.97957 | CosZ:      -0.8 | Prob:  0.860993
Index:        67 | NuType:  1 | OscChan:  1 ->   1 | Energy:    1.1247 | CosZ:      -0.8 | Prob:  0.964989
