========================================================
Starting setup in executable
========================================================
Initialising NuOscillatorConfigs/Binned_NuSQUIDSLinear_NSI.yaml
OscillatorFactory creating OscillatorBase object from config: NuOscillatorConfigs/Binned_NuSQUIDSLinear_NSI.yaml
========================================================
Setting up Oscillators
Finished setup in executable
========================================================
Starting reweight in executable
Index:        50 | NuType:  1 | OscChan:  1 ->   2 | Energy:  0.107408 | CosZ:      -999 | Prob: 0.0070299
Index:        51 | NuType:  1 | OscChan:  1 ->   2 | Energy:  0.123321 | CosZ:      -999 | Prob: 0.0143517
Index:        52 | NuType:  1 | OscChan:  1 ->   2 | Energy:  0.141591 | CosZ:      -999 | Prob: 0.0120557
Index:        53 | NuType:  1 | OscChan:  1 ->   2 | Energy:  0.162568 | CosZ:      -999 | Prob: 0.0149785
Index:        54 | NuType:  1 | OscChan:  1 ->   2 | Energy:  0.186653 | CosZ:      -999 | Prob: 0.0156025
Index:        55 | NuType:  1 | OscChan:  1 ->   2 | Energy:  0.214306 | CosZ:      -999 | Prob:0.00918573
Index:        56 | NuType:  1 | OscChan:  1 ->   2 | Energy:  0.246057 | CosZ:      -999 | Prob:0.00377049
Index:        57 | NuType:  1 | OscChan:  1 ->   2 | Energy:  0.282511 | CosZ:      -999 | Prob:0.00574838
Index:        58 | NuType:  1 | OscChan:  1 ->   2 | Energy:  0.324366 | CosZ:      -999 | Prob: 0.0140576
Index:        59 | NuType:  1 | OscChan:  1 ->   2 | Energy:  0.372422 | CosZ:      -999 | Prob: 0.0240724
Index:        60 | NuType:  1 | OscChan:  1 ->   2 | Energy:  0.427598 | CosZ:      -999 | Prob: 0.0319445
Index:        61 | NuType:  1 | OscChan:  1 ->   2 | Energy:  0.490948 | CosZ:      -999 | Prob: 0.0360541
Index:        62 | NuType:  1 | OscChan:  1 ->   2 | Energy:  0.563684 | CosZ:      -999 | Prob: 0.0365412
Index:        63 | NuType:  1 | OscChan:  1 ->   2 | Energy:  0.647195 | CosZ:      -999 | Prob: 0.0343743
Index:        64 | NuType:  1 | OscChan:  1 ->   2 | Energy:   0.74308 | CosZ:      -999 | Prob: 0.0306603
Index:        65 | NuType:  1 | OscChan:  1 ->   2 | Energy:   0.85317 | CosZ:      -999 | Prob: 0.0263074
Index:        66 | NuType:  1 | OscChan:  1 ->   2 | Energy:   0.97957 | CosZ:      -999 | Prob: 0.0219341
Index:        67 | NuType:  1 | OscChan:  1 ->   2 | Energy:    1.1247 | CosZ:      -999 | Prob: 0.0178995
Index:        68 | NuType:  1 | OscChan:  1 ->   2 | Energy:   1.29132 | CosZ:      -999 | Prob: 0.0143725
Index:        69 | NuType:  1 | OscChan:  1 ->   2 | Energy:   1.48264 | CosZ:      -999 | Prob: 0.0113996
Index:        70 | NuType:  1 | OscChan:  1 ->   2 | Energy:    1.7023 | CosZ:      -999 | Prob:0.00895735
Index:        71 | NuType:  1 | OscChan:  1 ->   2 | Energy:    1.9545 | CosZ:      -999 | Prob: 0.0069881
Index:        72 | NuType:  1 | OscChan:  1 ->   2 | Energy:   2.24406 | CosZ:      -999 | Prob:0.00542196
Index:        73 | NuType:  1 | OscChan:  1 ->   2 | Energy:   2.57653 | CosZ:      -999 | Prob:0.00418916
Index:        74 | NuType:  1 | OscChan:  1 ->   2 | Energy:   2.95825 | CosZ:      -999 | Prob:0.00322629
Index:        75 | NuType:  1 | OscChan:  1 ->   2 | Energy:   3.39653 | CosZ:      -999 | Prob:0.00247867
Index:        76 | NuType:  1 | OscChan:  1 ->   2 | Energy:   3.89974 | CosZ:      -999 | Prob:0.00190081
